Ed.,Year,Host,Final_Champion,Champion_score,Runnerup_score,Final_Runnerup,Third_place ,Fourth-place,Num_of_teams,Matches,Total_attendance
1,1930,Uruguay,Uruguay,4,2,Argentina,United States,Yugoslavia,13,18,590549
2,1934,Italy,Italy,2,1,Czechoslovakia,Germany,Austria,16,17,363000
3,1938,France,Italy,4,2,Hungary,Brazil,Sweden,15,18,375700
4,1950,Brazil,Uruguay,2,1,Brazil,Sweden,Spain,13,22,1045246
5,1954,Switzerland,West Germany,3,2,Hungary,Austria,Uruguay,16,26,768607
6,1958,Sweden,Brazil,5,2,Sweden,France,West Germany,16,35,819810
7,1962,Chile,Brazil,3,1,Czechoslovakia,Chile,Yugoslavia,16,32,893172
8,1966,England,England,4,2,West Germany,Portugal,Soviet Union,16,32,1563135
9,1970,Mexico,Brazil,4,1,Italy,West Germany,Uruguay,16,32,1603975
10,1974,West Germany,West Germany,2,1,Netherlands,Poland,Brazil,16,38,1865753
11,1978,Argentina,Argentina,3,1,Netherlands,Brazil,Italy,16,38,1545791
12,1982,Spain,Italy,3,1,West Germany,Poland,France,24,52,2109723
13,1986,Mexico,Argentina,3,2,West Germany,France,Belgium,24,52,2394031
14,1990,Italy,West Germany,1,0,Argentina,Italy,England,24,52,2516215
15,1994,United States,Brazil,0,0,Italy,Sweden,Bulgaria,24,52,3587538
16,1998,France,France,3,0,Brazil,Croatia,Netherlands,32,64,2785100
17,2002,"South Korea
Japan",Brazil,2,0,Germany,Turkey,South Korea,32,64,2705197
18,2006,Germany,Italy,1,1,France,Germany,Portugal,32,64,3359439
19,2010,South Africa,Spain,1,0,Netherlands,Germany,Uruguay,32,64,3178856
20,2014,Brazil,Germany,1,0,Argentina,Netherlands,Brazil,32,64,3429873
21,2018,Russia,France,4,2,Croatia,Belgium,England,32,64,3031768
22,2022,Qatar,Argentina,3,3,France,Croatia,Morocco,32,64,3404252
